,singer,sing,count,production,dist,time,sex,active_type
3491,서동현,문제 (Feat. 쿠기 (Coogie)),6565785,Stone Music Entertainment,지니뮤직,2019.09.29~2019.10.05,남성,솔로
3492,엠씨더맥스 (M.C The Max),넘쳐흘러,6401217,325 이엔씨,카카오 M,2019.09.29~2019.10.05,남성,밴드
3493,첸 (CHEN),그댄 모르죠,6359525,SM Entertainment,Dreamus,2019.09.29~2019.10.05,남성,솔로
3494,지코 (ZICO),걘 아니야,6046269,KOZ 엔터테인먼트,카카오 M,2019.09.29~2019.10.05,남성,솔로
3495,Jeremy Zucker,comethru,5803994,Universal Music,Universal Music,2019.09.29~2019.10.05,남성,솔로
3496,송하예,Say Goodbye,5759722,냠냠엔터테인먼트,카카오 M,2019.09.29~2019.10.05,여성,솔로
3497,첸 (CHEN),잘 자요,5751038,SM Entertainment,Dreamus,2019.09.29~2019.10.05,남성,솔로
3498,아이유 (IU),밤편지,5745928,"페이브엔터테인먼트,카카오 M",카카오 M,2019.09.29~2019.10.05,여성,솔로
3499,"Mena Massoud, Naomi Scott",A Whole New World,5522689,"Disney Enterprises,Inc.",Universal Music,2019.09.29~2019.10.05,혼성,그룹
3500,"Woodie Gochild, 최엘비 (CHOILB), BIG Naughty (서동현), 영비, Chillin Homie쇼미더머니 8 Episode 2",바다 (Feat. 기리보이) (Prod. 기리보이),5394822,Stone Music Entertainment,지니뮤직,2019.09.29~2019.10.05,남성,프로젝트
3501,"윤비(YunB), 영비(Young B)",트루먼 쇼,5249436,Stone Music Entertainment,지니뮤직,2019.09.29~2019.10.05,남성,프로젝트
3502,BLACKPINK,Kill This Love,5219124,YG Entertainment,YG PLUS,2019.09.29~2019.10.05,여성,그룹
3503,볼빨간사춘기,Taste,5178622,쇼파르뮤직,카카오 M,2019.09.29~2019.10.05,여성,솔로
3504,"Ed Sheeran, Justin Bieber",I Don`t Care,5062419,Atlantic Records UK,Warner Music,2019.09.29~2019.10.05,남성,프로젝트
3505,폴킴,초록빛,5008654,뉴런뮤직,카카오 M,2019.09.29~2019.10.05,남성,솔로
3506,오마이걸 (OH MY GIRL),BUNGEE (Fall in Love),4942384,WM엔터테인먼트,카카오 M,2019.09.29~2019.10.05,여성,그룹
3507,임한별,이별하러 가는 길,4854070,모스트웍스,카카오 M,2019.09.29~2019.10.05,남성,솔로
3508,바이브 (Vibe),가을 타나 봐,4804798,메이저나인,지니뮤직,2019.09.29~2019.10.05,남성,그룹
3509,양다일,너만 너만 너만,4788463,냠냠엔터테인먼트,카카오 M,2019.09.29~2019.10.05,남성,솔로
3510,세븐틴,독 _ Fear,4786766,플레디스,"지니뮤직, Stone Music Entertainment",2019.09.29~2019.10.05,남성,그룹
3511,볼빨간사춘기,여행,4783952,쇼파르뮤직,카카오 M,2019.09.29~2019.10.05,여성,솔로
3512,닐로 (Nilo),지나오다,4692716,닐로 컴퍼니,퍼플파인 엔터테인먼트,2019.09.29~2019.10.05,남성,솔로
3513,벤 (Ben),180도,4577008,메이저나인,지니뮤직,2019.09.29~2019.10.05,여성,솔로
3514,Ed Sheeran,Shape of You,4526881,Atlantic Records UK,Warner Music,2019.09.29~2019.10.05,남성,솔로
3515,볼빨간사춘기,별 보러 갈래?,4526631,쇼파르뮤직,카카오 M,2019.09.29~2019.10.05,여성,솔로
3516,지코 (ZICO),One-man show (Feat. Sik-K),4517121,KOZ 엔터테인먼트,카카오 M,2019.09.29~2019.10.05,남성,솔로
3517,EXO,Love Shot,4490823,SM Entertainment,Dreamus,2019.09.29~2019.10.05,남성,그룹
3518,권진아,시계 바늘,4451309,안테나뮤직,카카오 M,2019.09.29~2019.10.05,여성,솔로
3519,염따 (YumDDa),돈 Call Me (Prod. BRLLNT),4408191,"딩고뮤직, 염따",Dreamus,2019.09.29~2019.10.05,남성,솔로
3520,"CHANGMO, Hash Swan, ASH ISLAND, 김효은, Leellamarz & The QuiettDingo X Ambition Musik",비워 (Beer) (Prod. Way Ched),4376049,"딩고뮤직, Ambition Musik",카카오 M,2019.09.29~2019.10.05,남성,프로젝트
3521,X1 (엑스원),웃을 때 제일 예뻐,4361688,"SWING Entertainment, Stone Music Entertainment","지니뮤직, Stone Music Entertainment",2019.09.29~2019.10.05,남성,그룹
3522,TWICE,Dance The Night Away,4357980,JYP Entertainment,Dreamus,2019.09.29~2019.10.05,여성,그룹
3523,어반 자카파 (Urban Zakapa),서울 밤 (Feat. 빈지노),4357400,메이크어스엔터테인먼트,카카오 M,2019.09.29~2019.10.05,혼성,그룹
3524,지코 (ZICO),극,4350500,KOZ 엔터테인먼트,카카오 M,2019.09.29~2019.10.05,남성,솔로
3525,"Marshmello, Anne-Marie",FRIENDS,4331772,Atlantic Records UK,Warner Music,2019.09.29~2019.10.05,혼성,프로젝트
3526,Troye Sivan,Youth,4316461,Universal Music,Universal Music,2019.09.29~2019.10.05,남성,솔로
3527,아이유 (IU),삐삐,4310453,카카오 M,카카오 M,2019.09.29~2019.10.05,여성,솔로
3528,우디(Woody),대충 입고 나와,4300652,인디안레이블,지니뮤직,2019.09.29~2019.10.05,남성,솔로
3529,Ariana Grande,"thank u, next",4294978,"Republic Records, a division of UMG Recordings,Inc",Universal Music,2019.09.29~2019.10.05,여성,솔로
3530,하은 (라코스테남),비오는 날 뭐해,4287588,인디안레이블,지니뮤직,2019.09.29~2019.10.05,남성,솔로
3531,볼빨간사춘기,낮 (Day off),4279173,쇼파르뮤직,카카오 M,2019.09.29~2019.10.05,여성,솔로
3532,장범준,당신과는 천천히,4201473,버스커버스커,카카오 M,2019.09.29~2019.10.05,남성,솔로
3533,홍진영,오늘 밤에,4016663,뮤직K,카카오 M,2019.09.29~2019.10.05,여성,솔로
3534,Ariana Grande,7 rings,4012105,"Republic Records, a division of UMG Recordings,Inc",Universal Music,2019.09.29~2019.10.05,여성,솔로
3535,Charlie Puth,Attention,3978092,Artist Partners,Warner Music,2019.09.29~2019.10.05,남성,솔로
3536,"Alan Walker, Sabrina Carpenter, Farruko",On My Way,3924773,MER Recordings,Sony Music,2019.09.29~2019.10.05,남성,프로젝트
3537,먼데이 키즈 (Monday Kiz),가을 안부,3920492,먼데이키즈 컴퍼니,지니뮤직,2019.09.29~2019.10.05,남성,솔로
3538,방탄소년단,소우주 (Mikrokosmos),3912013,빅히트 엔터테인먼트,Dreamus,2019.09.29~2019.10.05,남성,그룹
3539,"pH-1, Kid Milli, 루피 (Loopy)",Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),3900646,Stone Music Entertainment,지니뮤직,2019.09.29~2019.10.05,남성,프로젝트
3540,케이시 (Kassy),진심이 담긴 노래 (True Song),3898451,넥스타엔터테인먼트,카카오 M,2019.09.29~2019.10.05,여성,솔로
3541,우디(Woody),이 노래가 클럽에서 나온다면,3880716,인디안레이블,지니뮤직,2019.09.29~2019.10.05,남성,솔로
3542,TWICE,YES or YES,3832889,JYP Entertainment,Dreamus,2019.09.29~2019.10.05,여성,그룹
3543,"Khalid, Disclosure",Talk,3796798,"Right Hand Music Group, LLC/RCA Records",Sony Music,2019.09.29~2019.10.05,남성,솔로
3544,핑클,남아있는 노래처럼,3791046,에프이스토어,카카오 M,2019.09.29~2019.10.05,여성,그룹
3545,Alan Walker,"All Falls Down (Feat. Noah Cyrus, Digi...",3728951,MER Musikk,Sony Music,2019.09.29~2019.10.05,남성,솔로
3546,백예린,그건 아마 우리의 잘못은 아닐 거야,3698983,JYP Entertainment,Dreamus,2019.09.29~2019.10.05,여성,솔로
3547,X1 (엑스원),U GOT IT (X1 Ver.),3650281,"SWING Entertainment, Stone Music Entertainment","지니뮤직, Stone Music Entertainment",2019.09.29~2019.10.05,남성,그룹
3548,영비,"Sold Out (Feat. 빈첸) (Prod. Doplamingo,...",3606300,Stone Music Entertainment,지니뮤직,2019.09.29~2019.10.05,남성,솔로
3549,양다일,고백,3589333,브랜뉴뮤직,카카오 M,2019.09.29~2019.10.05,남성,솔로
3550,Charlie Puth,One Call Away,3568295,Artist Partners,Warner Music,2019.09.29~2019.10.05,남성,솔로
3551,케이윌 (K.Will),내 생에 아름다운,3555235,"뮤직앤뉴, 스튜디오앤뉴",뮤직앤뉴,2019.09.29~2019.10.05,남성,솔로
3552,벤 (Ben),열애중,3538363,메이저나인,지니뮤직,2019.09.29~2019.10.05,여성,솔로
3553,볼빨간사춘기,나의 사춘기에게,3486207,쇼파르뮤직,카카오 M,2019.09.29~2019.10.05,여성,솔로
3554,"Lauv, Anne-Marie","fuck, i`m lonely",3477175,뮤직테이블,NHN벅스,2019.09.29~2019.10.05,남성,솔로
3555,10cm,방에 모기가 있어 (Do You Think Of Me?),3468701,매직스트로베리사운드,카카오 M,2019.09.29~2019.10.05,남성,솔로
3556,Shawn Mendes,If I Can`t Have You,3444233,"Island Records, a division of UMG Recordings, Inc.",Universal Music,2019.09.29~2019.10.05,남성,솔로
3557,Camila Cabello,Havana (Feat. Young Thug),3435723,Syco Music/Epic,Sony Music,2019.09.29~2019.10.05,여성,솔로
3558,Pink Sweat$,Honesty,3393498,"Human Re Sources, LLC",Warner Music,2019.09.29~2019.10.05,남성,솔로
3559,기리보이(Giriboy),교통정리 (Feat. 헤이즈),3356771,린치핀뮤직,카카오 M,2019.09.29~2019.10.05,남성,솔로
3560,임창정,하루도 그대를 사랑하지 않은 적이 없었다,3327913,NH EMG,인터파크,2019.09.29~2019.10.05,남성,솔로
3561,하은 (라코스테남),신용재,3306506,인디안레이블,지니뮤직,2019.09.29~2019.10.05,남성,솔로
3562,오마이걸 (OH MY GIRL),다섯 번째 계절 (SSFWL),3303663,WM엔터테인먼트,카카오 M,2019.09.29~2019.10.05,여성,그룹
3563,X1 (엑스원),움직여 (MOVE) (Prod. by ZICO) (X1 Ver.),3265341,"SWING Entertainment, Stone Music Entertainment","지니뮤직, Stone Music Entertainment",2019.09.29~2019.10.05,남성,그룹
3564,멜로망스(Melomance),선물,3256989,"민트페이퍼, 광합성",카카오 M,2019.09.29~2019.10.05,남성,듀엣
3565,헤이즈 (Heize),비도 오고 그래서 (Feat. 신용재),3240931,Stone Music Entertainment,지니뮤직,2019.09.29~2019.10.05,여성,솔로
3566,황인욱,취하고 싶다 (Prod. By 전태익),3212618,678 MUSIC,뮤직파운드,2019.09.29~2019.10.05,남성,솔로
3567,이하이,누구 없소 (NO ONE) (Feat. B.I of iKON),3197941,YG Entertainment,YG PLUS,2019.09.29~2019.10.05,여성,솔로
3568,백지영,우리가,3189973,트라이어스,카카오 M,2019.09.29~2019.10.05,여성,솔로
3569,백현 (BAEKHYUN),UN Village,3173789,SM Entertainment,Dreamus,2019.09.29~2019.10.05,남성,솔로
3570,영비,소년 (Feat. BewhY) (Prod. BewhY),3171971,Stone Music Entertainment,지니뮤직,2019.09.29~2019.10.05,남성,솔로
3571,Charlie Puth,We Don`t Talk Anymore (Feat. Selena Go...,3161691,Artist Partners,Warner Music,2019.09.29~2019.10.05,남성,솔로
3572,Imagine Dragons,Thunder,3148171,"KIDinaKORNER, Interscope Records",Universal Music,2019.09.29~2019.10.05,남성,그룹
3573,세븐틴,Snap Shoot,3136437,플레디스,"지니뮤직, Stone Music Entertainment",2019.09.29~2019.10.05,남성,그룹
3574,"Lauv, Troye Sivan",i`m so tired...,3134397,뮤직테이블,NHN벅스,2019.09.29~2019.10.05,남성,프로젝트
3575,양다일,미안해,3076333,브랜뉴뮤직,카카오 M,2019.09.29~2019.10.05,남성,솔로
3576,Post Malone,Goodbyes (Feat. Young Thug),3040115,"Republic Records, a division of UMG Recordings,Inc",Universal Music,2019.09.29~2019.10.05,남성,솔로
3577,The Chainsmokers,Closer (Feat. Halsey),3035792,"Disruptor Records, Columbia",Sony Music,2019.09.29~2019.10.05,남성,듀엣
3578,(여자)아이들,Uh-Oh,3029146,큐브엔터테인먼트,카카오 M,2019.09.29~2019.10.05,여성,그룹
3579,"Jvcki Wai, Young B, Osshun Gum, 한요한",띵 (Prod. By 기리보이),3025037,"인디고뮤직, 딩고뮤직",카카오 M,2019.09.29~2019.10.05,혼성,프로젝트
3580,Adam Levine,Lost Stars,3018763,Interscope Records,Universal Music,2019.09.29~2019.10.05,남성,솔로
3581,Maroon 5,Memories,3010063,222 Records/Interscope Records,Universal Music,2019.09.29~2019.10.05,남성,밴드
3582,이소라,신청곡 (Feat. SUGA of BTS),2987600,에르타알레,NHN벅스,2019.09.29~2019.10.05,여성,솔로
3583,장덕철,그날처럼,2979599,리메즈,카카오 M,2019.09.29~2019.10.05,남성,그룹
3584,Justin Bieber,Love Yourself,2969303,"Def Jam Recordings, a division of UMG Recordings, Inc",Universal Music,2019.09.29~2019.10.05,남성,솔로
3585,AOA,너나 해 (Egotistic),2967630,Stone Music Entertainment,지니뮤직,2019.09.29~2019.10.05,여성,그룹
3586,화사(Hwa Sa),멍청이(twit),2959309,RBW,카카오 M,2019.09.29~2019.10.05,여성,솔로
3587,제니 (JENNIE),SOLO,2958111,YG Entertainment,YG PLUS,2019.09.29~2019.10.05,여성,솔로
3588,Shawn Mendes,There`s Nothing Holdin` Me Back,2941918,"Island Records, a division of UMG Recordings, Inc.",Universal Music,2019.09.29~2019.10.05,남성,솔로
3589,Fitz & The Tantrums,HandClap,2932846,Elektra,Warner Music,2019.09.29~2019.10.05,혼성,밴드
3590,"기리보이, Kid Milli, NO:EL, 스윙스 (Swings)",flex (Prod. By 기리보이),2912402,"인디고뮤직, 딩고뮤직",카카오 M,2019.09.29~2019.10.05,남성,그룹
3591,Adele,Someone Like You,2887872,XL Recordings,강앤뮤직,2019.09.29~2019.10.05,여성,솔로
3592,레드벨벳(Red Velvet),짐살라빔 (Zimzalabim),2868057,SM Entertainment,Dreamus,2019.09.29~2019.10.05,여성,그룹
3593,Post Malone & Swae Lee,Sunflower (Spider-Man _ Into The Spide...,2853604,Universal Music,Universal Music,2019.09.29~2019.10.05,남성,프로젝트
3594,윤건,너도 그냥 날 놓아주면 돼,2830285,센토엔터테인먼트,지니뮤직,2019.09.29~2019.10.05,남성,솔로
3595,노을,너는 어땠을까,2820491,씨제스엔터테인먼트,카카오 M,2019.09.29~2019.10.05,남성,그룹
3596,존박,이상한 사람,2804866,"팬엔터테인먼트, 모스트콘텐츠",NHN벅스,2019.09.29~2019.10.05,남성,솔로
3597,Alan Walker,Faded,2799708,MER Musikk,Sony Music,2019.09.29~2019.10.05,남성,솔로
3598,BLACKPINK,뚜두뚜두 (DDU-DU DDU-DU),2780315,YG Entertainment,YG PLUS,2019.09.29~2019.10.05,여성,그룹
3599,악동뮤지션 (AKMU),오랜 날 오랜 밤,2740804,YG Entertainment,YG PLUS,2019.09.29~2019.10.05,혼성,듀엣
3600,악동뮤지션 (AKMU),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",57407027,YG Entertainment,YG PLUS,2019.10.06~2019.10.12,혼성,듀엣
3601,장범준,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,45006252,"Stone Music Entertainment, 삼화네트웍스","지니뮤직, Stone Music Entertainment",2019.10.06~2019.10.12,남성,솔로
3602,폴킴,허전해,35120083,뉴런뮤직,카카오 M,2019.10.06~2019.10.12,남성,솔로
3603,임재현,조금 취했어 (Prod. 2soo),34937609,"엔에스씨컴퍼니, 디원미디어",카카오 M,2019.10.06~2019.10.12,남성,솔로
3604,볼빨간사춘기,워커홀릭,33519054,쇼파르뮤직,카카오 M,2019.10.06~2019.10.12,여성,솔로
3605,폴킴,안녕,31150247,냠냠엔터테인먼트,카카오 M,2019.10.06~2019.10.12,남성,솔로
3606,마크툽 (Maktub),오늘도 빛나는 너에게 (To You My Light) (Feat.이라...,28301667,MAKTUB Company,Warner Music,2019.10.06~2019.10.12,남성,솔로
3607,HYNN(박혜원),시든 꽃에 물을 주듯,27459684,엔터테인먼트뉴오더,카카오 M,2019.10.06~2019.10.12,여성,솔로
3608,전상근,사랑이란 멜로는 없어,26309943,스튜디오 오드리,카카오 M,2019.10.06~2019.10.12,남성,솔로
3609,케이시 (Kassy),가을밤 떠난 너,24836666,넥스타엔터테인먼트,카카오 M,2019.10.06~2019.10.12,여성,솔로
3610,TWICE,Feel Special,24384927,JYP Entertainment,Dreamus,2019.10.06~2019.10.12,여성,그룹
3611,송하예,니 소식,23608720,더하기미디어,카카오 M,2019.10.06~2019.10.12,여성,솔로
3612,거미,기억해줘요 내 모든 날과 그때를,22663012,냠냠엔터테인먼트,카카오 M,2019.10.06~2019.10.12,여성,솔로
3613,황인욱,포장마차,21704197,How엔터테인먼트,NHN벅스,2019.10.06~2019.10.12,남성,솔로
3614,장덕철,있어줘요,20916825,리메즈,카카오 M,2019.10.06~2019.10.12,남성,그룹
3615,펀치 (Punch),가끔 이러다,20118542,냠냠엔터테인먼트,카카오 M,2019.10.06~2019.10.12,여성,솔로
3616,Anne-Marie,2002,20107304,Atlantic Records UK,Warner Music,2019.10.06~2019.10.12,여성,솔로
3617,휘인,헤어지자 (Prod. 정키),19297509,RBW,카카오 M,2019.10.06~2019.10.12,여성,솔로
3618,태연 (TAEYEON),그대라는 시,19207789,냠냠엔터테인먼트,카카오 M,2019.10.06~2019.10.12,여성,솔로
3619,"장혜진, 윤민수",술이 문제야,18859661,젤리피쉬 엔터테인먼트,"지니뮤직, Stone Music Entertainment",2019.10.06~2019.10.12,혼성,프로젝트
3620,첸 (CHEN),우리 어떻게 할까요,18488012,SM Entertainment,Dreamus,2019.10.06~2019.10.12,남성,솔로
3621,임재현,사랑에 연습이 있었다면 (Prod. 2soo),18378857,"엔에스씨컴퍼니, 디원미디어",카카오 M,2019.10.06~2019.10.12,남성,솔로
3622,"Shawn Mendes, Camila Cabello",Senorita,17708245,"Island Records, a division of UMG Recordings, Inc.",Universal Music,2019.10.06~2019.10.12,혼성,프로젝트
3623,지코 (ZICO),"천둥벌거숭이 (Feat. Jvcki Wai, 염따)",16558848,KOZ 엔터테인먼트,카카오 M,2019.10.06~2019.10.12,남성,솔로
3624,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼,16455434,먼데이키즈 컴퍼니,카카오 M,2019.10.06~2019.10.12,남성,솔로
3625,Billie Eilish,bad guy,16136606,"Darkroom, Interscope Records",Universal Music,2019.10.06~2019.10.12,여성,솔로
3626,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)",16061353,SM Entertainment,Dreamus,2019.10.06~2019.10.12,남성,솔로
3627,악동뮤지션 (AKMU),달,15829361,YG Entertainment,YG PLUS,2019.10.06~2019.10.12,혼성,듀엣
3628,지코 (ZICO),사람,14698940,KOZ 엔터테인먼트,카카오 M,2019.10.06~2019.10.12,남성,솔로
3629,벤 (Ben),헤어져줘서 고마워,14682335,메이저나인,지니뮤직,2019.10.06~2019.10.12,여성,솔로
3630,펀치 (Punch),Done For Me,14334802,냠냠엔터테인먼트,카카오 M,2019.10.06~2019.10.12,여성,솔로
3631,방탄소년단,작은 것들을 위한 시 (Boy With Luv) (Feat. Hals...,14250120,빅히트 엔터테인먼트,Dreamus,2019.10.06~2019.10.12,남성,그룹
3632,10cm,나의 어깨에 기대어요,14046603,냠냠엔터테인먼트,카카오 M,2019.10.06~2019.10.12,남성,솔로
3633,벤 (Ben),내 목소리 들리니,13830666,냠냠엔터테인먼트,카카오 M,2019.10.06~2019.10.12,여성,솔로
3634,폴킴,너를 만나,13165241,뉴런뮤직,카카오 M,2019.10.06~2019.10.12,남성,솔로
3635,태연 (TAEYEON),사계 (Four Seasons),12999288,SM Entertainment,Dreamus,2019.10.06~2019.10.12,여성,솔로
3636,"창모, Hash Swan, ASH ISLAND, 김효은",BAND,12983556,앰비션뮤직,"지니뮤직, Stone Music Entertainment",2019.10.06~2019.10.12,남성,프로젝트
3637,Naomi Scott,Speechless (Full),12972437,"Disney Enterprises,Inc.",Universal Music,2019.10.06~2019.10.12,여성,솔로
3638,선미,날라리 (LALALAY),12592633,메이크어스엔터테인먼트,카카오 M,2019.10.06~2019.10.12,여성,솔로
3639,김나영,솔직하게 말해서 나,12538433,네버랜드엔터테인먼트,카카오 M,2019.10.06~2019.10.12,여성,솔로
3640,헤이즈 (Heize),내 맘을 볼 수 있나요,12323006,냠냠엔터테인먼트,카카오 M,2019.10.06~2019.10.12,여성,솔로
3641,닐로 (Nilo),벗,11956175,리메즈,Universal Music,2019.10.06~2019.10.12,남성,솔로
3642,케이시 (Kassy),그때가 좋았어,11823076,넥스타엔터테인먼트,카카오 M,2019.10.06~2019.10.12,여성,솔로
3643,다비치,너에게 못했던 내 마지막 말은,11683911,Stone Music Entertainment,지니뮤직,2019.10.06~2019.10.12,여성,듀엣
3644,V.O.S,다시 만날까 봐,11574728,J-SOUL COMPANY,카카오 M,2019.10.06~2019.10.12,남성,그룹
3645,ITZY (있지),ICY,11546236,JYP Entertainment,Dreamus,2019.10.06~2019.10.12,여성,그룹
3646,장범준,노래방에서,11326461,버스커버스커,카카오 M,2019.10.06~2019.10.12,남성,솔로
3647,이우,이별행동,11215454,케이에이치컴퍼니,카카오 M,2019.10.06~2019.10.12,남성,솔로
3648,악동뮤지션 (AKMU),FREEDOM,11202566,YG Entertainment,YG PLUS,2019.10.06~2019.10.12,혼성,듀엣
3649,Lauv,Paris In The Rain,11147484,뮤직테이블,NHN벅스,2019.10.06~2019.10.12,남성,솔로
3650,악동뮤지션 (AKMU),밤 끝없는 밤,10745780,YG Entertainment,YG PLUS,2019.10.06~2019.10.12,혼성,듀엣
3651,크러쉬 (CRUSH),나빠(NAPPA),10635464,피네이션,Dreamus,2019.10.06~2019.10.12,남성,솔로
3652,악동뮤지션 (AKMU),물 만난 물고기,10594614,YG Entertainment,YG PLUS,2019.10.06~2019.10.12,혼성,듀엣
3653,악동뮤지션 (AKMU),뱃노래,10318836,YG Entertainment,YG PLUS,2019.10.06~2019.10.12,혼성,듀엣
3654,멜로망스(MeloMance),인사,10273487,"민트페이퍼, 광합성",카카오 M,2019.10.06~2019.10.12,남성,듀엣
3655,오반 (OVAN),전화를 할까봐,10230143,로맨틱팩토리,카카오 M,2019.10.06~2019.10.12,남성,솔로
3656,청하,Snapping,10060444,MNH Entertainment,"지니뮤직, Stone Music Entertainment",2019.10.06~2019.10.12,여성,솔로
3657,잔나비,주저하는 연인들을 위해,9926520,페포니 뮤직,카카오 M,2019.10.06~2019.10.12,남성,밴드
3658,TWICE,FANCY,9777922,JYP Entertainment,Dreamus,2019.10.06~2019.10.12,여성,그룹
3659,이우,내 안부,9739378,소리바다,소리바다,2019.10.06~2019.10.12,남성,솔로
3660,"먼데이 키즈 (Monday Kiz), 펀치 (Punch)",Another Day,9477718,냠냠엔터테인먼트,카카오 M,2019.10.06~2019.10.12,혼성,프로젝트
3661,이해리,나만 아픈 일,9382924,Stone Music Entertainment,지니뮤직,2019.10.06~2019.10.12,여성,솔로
3662,첸 (CHEN),사월이 지나면 우리 헤어져요 (Beautiful goodbye),9356262,SM Entertainment,Dreamus,2019.10.06~2019.10.12,남성,솔로
3663,폴킴,비,9099356,뉴런뮤직,카카오 M,2019.10.06~2019.10.12,남성,솔로
3664,비와이(BewhY),가라사대,9055567,Dejavu Group,카카오 M,2019.10.06~2019.10.12,남성,솔로
3665,"스윙스(Swings), Kid Milli, 매드 클라운","담아 (Feat. 염따, pH-1) (Prod. BOYCOLD)",9047250,Stone Music Entertainment,지니뮤직,2019.10.06~2019.10.12,남성,솔로
3666,AB6IX (에이비식스),BLIND FOR LOVE,8676371,브랜뉴뮤직,Warner Music,2019.10.06~2019.10.12,남성,그룹
3667,레드벨벳(Red Velvet),음파음파 (Umpah Umpah),8665261,SM Entertainment,Dreamus,2019.10.06~2019.10.12,여성,그룹
3668,볼빨간사춘기,XX,8495717,쇼파르뮤직,카카오 M,2019.10.06~2019.10.12,여성,솔로
3669,Imagine Dragons,Believer,8421376,"KIDinaKORNER, Interscope Records",Universal Music,2019.10.06~2019.10.12,남성,그룹
3670,ITZY (있지),달라달라,8360276,JYP Entertainment,Dreamus,2019.10.06~2019.10.12,여성,그룹
3671,악동뮤지션 (AKMU),고래,8278893,YG Entertainment,YG PLUS,2019.10.06~2019.10.12,혼성,듀엣
3672,브라운 아이드 소울(Brown Eyed Soul),"그대의 밤, 나의 아침",8275595,"인넥스트트렌드, 롱플레이뮤직","지니뮤직, Stone Music Entertainment",2019.10.06~2019.10.12,남성,그룹
3673,폴킴,New Day,8261265,뉴런뮤직,카카오 M,2019.10.06~2019.10.12,남성,솔로
3674,기리보이(Giriboy),"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, N...",8030075,린치핀뮤직,카카오 M,2019.10.06~2019.10.12,남성,솔로
3675,악동뮤지션 (AKMU),시간을 갖자,7862609,YG Entertainment,YG PLUS,2019.10.06~2019.10.12,혼성,듀엣
3676,엠씨더맥스 (M.C The Max),사계 (하루살이),7833312,325 이엔씨,카카오 M,2019.10.06~2019.10.12,남성,밴드
3677,악동뮤지션 (AKMU),작별 인사,7821050,YG Entertainment,YG PLUS,2019.10.06~2019.10.12,혼성,듀엣
3678,숀 (SHAUN),Way Back Home,7773496,디씨톰엔터테인먼트,Warner Music,2019.10.06~2019.10.12,남성,솔로
3679,첸 (CHEN),널 안지 않을 수 있어야지,7768534,SM Entertainment,Dreamus,2019.10.06~2019.10.12,남성,솔로
3680,볼빨간사춘기,25,7717249,쇼파르뮤직,카카오 M,2019.10.06~2019.10.12,여성,솔로
3681,헤이즈 (Heize),We don`t talk together (Feat. 기리보이) (P...,7615488,"Stone Music Entertainment, Studio blu",지니뮤직,2019.10.06~2019.10.12,여성,솔로
3682,에이치코드 (H:CODE),꿈속에 너 (Feat. 전상근),7568284,H PERFORMANCE,퍼플파인 엔터테인먼트,2019.10.06~2019.10.12,남성,그룹
3683,볼빨간사춘기,"나만, 봄",7493553,쇼파르뮤직,카카오 M,2019.10.06~2019.10.12,여성,솔로
3684,박효신,Goodbye,7364635,글러브엔터테인먼트,카카오 M,2019.10.06~2019.10.12,남성,솔로
3685,악동뮤지션 (AKMU),더 사랑해줄걸,7342172,YG Entertainment,YG PLUS,2019.10.06~2019.10.12,혼성,듀엣
3686,디오 (D.O.),괜찮아도 괜찮아 (That`s okay),7325726,SM Entertainment,Dreamus,2019.10.06~2019.10.12,남성,솔로
3687,방탄소년단,봄날,7261557,빅히트 엔터테인먼트,Dreamus,2019.10.06~2019.10.12,남성,그룹
3688,엔플라잉 (N.Flying),옥탑방,6967409,FNC엔터테인먼트,카카오 M,2019.10.06~2019.10.12,남성,밴드
3689,X1 (엑스원),FLASH,6858434,"SWING Entertainment, Stone Music Entertainment","지니뮤직, Stone Music Entertainment",2019.10.06~2019.10.12,남성,그룹
3690,백지영,우리가,6529299,트라이어스,카카오 M,2019.10.06~2019.10.12,여성,솔로
3691,방탄소년단,IDOL,6523386,빅히트 엔터테인먼트,Dreamus,2019.10.06~2019.10.12,남성,그룹
3692,윤하,비가 내리는 날에는,6171039,C9엔터테인먼트,카카오 M,2019.10.06~2019.10.12,여성,솔로
3693,청하,그 끝에 그대,5941857,냠냠엔터테인먼트,카카오 M,2019.10.06~2019.10.12,여성,솔로
3694,청하,벌써 12시,5900254,MNH Entertainment,"지니뮤직, Stone Music Entertainment",2019.10.06~2019.10.12,여성,솔로
3695,엠씨더맥스 (M.C The Max),넘쳐흘러,5783623,325 이엔씨,카카오 M,2019.10.06~2019.10.12,남성,밴드
3696,아이유 (IU),밤편지,5762664,"페이브엔터테인먼트,카카오 M",카카오 M,2019.10.06~2019.10.12,여성,솔로
3697,폴킴,나를 사랑하지 않는 나에게,5554941,뉴런뮤직,카카오 M,2019.10.06~2019.10.12,남성,솔로
3698,Jeremy Zucker,comethru,5504545,Universal Music,Universal Music,2019.10.06~2019.10.12,남성,솔로
3699,김필,사랑 둘,5318822,"Stone Music Entertainment, MMO Entertainment",지니뮤직,2019.10.06~2019.10.12,남성,솔로
